XY
	CURVE (1mkcl-5mmolar18btmapaq-nitrogen-rde-1200mvpers-50mvpers.DTA)
4.032e-001	1.479e-006
4.031e-001	1.433e-006
4.030e-001	1.766e-006
4.028e-001	1.621e-006
4.028e-001	1.616e-006
4.026e-001	1.589e-006
4.025e-001	1.589e-006
4.024e-001	1.547e-006
4.023e-001	1.659e-006
4.022e-001	1.546e-006
4.021e-001	1.676e-006
4.021e-001	1.623e-006
4.019e-001	1.707e-006
4.018e-001	1.630e-006
4.016e-001	1.579e-006
4.015e-001	1.714e-006
4.015e-001	1.566e-006
4.014e-001	1.499e-006
4.012e-001	1.719e-006
4.012e-001	1.730e-006
4.011e-001	1.542e-006
4.010e-001	1.675e-006
4.008e-001	1.823e-006
