XY					
	CURVE1 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		
0.1582	6.48E-05				
0.16215	6.42E-05				
0.16622	6.38E-05				
0.17018	6.34E-05				
0.17419	6.30E-05				
0.17818	6.39E-05				
0.18218	6.33E-05				
0.18618	6.29E-05				
0.190151	6.25E-05				
0.194172	6.21E-05				
0.1981875	6.30E-05				
0.202174	6.23E-05				
0.206172	6.19E-05				
0.21018	6.15E-05				
0.21412	6.10E-05				
0.21815	6.19E-05				
0.22217	6.12E-05				
0.22613	6.07E-05				
0.23014	6.02E-05				
0.23414	5.97E-05				
0.23811	6.05E-05				
0.24213	5.97E-05				
0.24616	5.92E-05				
0.25014	5.86E-05				
0.25414	5.80E-05				
0.25812	5.87E-05				
0.26215	5.79E-05				
0.26609	5.73E-05				
0.27011	5.67E-05				
0.27412	5.61E-05				
0.2781	5.68E-05				
0.28212	5.59E-05				
0.28613	5.53E-05				
0.29009	5.47E-05				
0.29407	5.40E-05				
0.29809	5.48E-05				
0.3021	5.39E-05				
0.3061	5.34E-05				
0.3101	5.28E-05				
0.3141	5.21E-05				
0.3181	5.28E-05				
0.3221	5.20E-05				
0.3261	5.14E-05				
0.33	5.08E-05				
0.3341	5.02E-05				
0.3381	5.10E-05				
0.3421	5.02E-05				
0.3461	4.97E-05				
0.3501	4.91E-05				
0.3541	4.85E-05				
0.358	4.93E-05				
0.362	4.85E-05				
0.366	4.80E-05				
0.3701	4.75E-05				
0.374	4.69E-05				
0.378	4.77E-05				
0.382	4.70E-05				
0.386	4.65E-05				
0.39	4.60E-05				
0.394	4.55E-05				
0.398	4.63E-05				
0.402	4.56E-05				
0.406	4.52E-05				
0.41	4.47E-05				
0.4139	4.42E-05				
0.418	4.50E-05				
0.422	4.43E-05				
0.426	4.39E-05				
0.4299	4.35E-05				
0.4339	4.30E-05				
0.4379	4.39E-05				
0.4419	4.32E-05				
0.446	4.28E-05				
0.45	4.24E-05				
0.4539	4.19E-05				
0.4579	4.29E-05				
0.4619	4.22E-05				
0.4659	4.18E-05				
0.47	4.15E-05				
0.4739	4.10E-05				
0.4779	4.20E-05				
0.4819	4.13E-05				
0.4859	4.10E-05				
0.4899	4.06E-05				
0.4939	4.02E-05				
0.4979	4.12E-05				
0.5019	4.06E-05				
0.5059	4.03E-05				
0.5099	4.00E-05				
0.5139	3.96E-05				
0.5179	4.06E-05				
0.5219	4.01E-05				
